名称,类别,地理位置-区,地理位置-板块,地理位置-详细地址,房型,面积,均价,总价
首创禧悦兴城,住宅,大兴,枣园,北京市大兴区观音寺街道首创禧悦兴城,2室,91,29000,339
清樾府,住宅,昌平,沙河,回首路住总清樾府,3室,114,46000,357
京投发展森与天成,住宅,丰台,新宫,新宫西路与新宫商业二街交汇处，新宫地铁站A口向北300米,1室,111,78000,907
紫京宸园,住宅,朝阳,朝青,朝阳北路紫京宸园,4室,205,110000,2373
北京润府,住宅,通州,通州其它,亦庄经济技术开发区嘉创一路与兴光三街交叉口,3室,137,65000,885
朝棠揽阅,住宅,通州,通州北苑,北京市通州区,3室,96,60000,565
龙湖熙湖悦著,住宅,房山,房山其它,大苑村收费站出口（良坨路桥）左行200米,4室,219,15000,515
国誉星城,住宅,昌平,沙河,史各庄街道国誉星城,3室,103,53500,367
水岸壹号,低密住宅,房山,良乡,良乡大学城西站地铁南侧800米，刺猬河旁,3室,192,45000,502
运河铭著,住宅,通州,北关,商通大道与榆东一街交叉口，温榆河森林公园东500米,3室,153,42000,603
万年广阳郡九号,住宅,房山,长阳,长阳清苑南街与汇商东路交汇处西北角,4室,197,45000,964
首开璞瑅隐园,住宅,丰台,方庄,紫芳园五区,4室,203,113000,2200
御汤山熙园,低密住宅,昌平,昌平其它,北京市昌平区小汤山镇顺沙路99号院,4室,418,38000,4775
檀香府,低密住宅,门头沟,门头沟其它,京潭大街与潭柘十街交叉口,3室,264,38000,950
韩建·观山源墅,低密住宅,房山,良乡,阳光北大街与多宝路交汇处西南（理工大学北校区西侧）,3室,310,40000,1250
玺源台,住宅,西城,广安门,"广安门外大街305号, 莲花池东路, 莲花河北街11号院",1室,92,150000,1127
首城汇景墅,低密住宅,平谷,平谷其它,"金河北街6号院, 金河北街8号院",3室,360,25000,690
水墨林溪,住宅,房山,阎村,窦店镇大窦路与阎周路交叉口西北向50米,2室,114,18000,190
燕西华府,住宅,丰台,丰台其它,"王佐镇青龙湖公园东1500米,",3室,174,40000,412
一瓶八斗,住宅,朝阳,亚运村小营,大屯路222号,4室,273,80000,2255
鲁能·格拉斯小镇,低密住宅,通州,通州其它,北京市通州区宋庄镇格拉斯小镇营销中心,3室,421,55000,2750
兴创荣墅,低密住宅,大兴,大兴新机场洋房别墅区,北京市大兴区育胜街,3室,380,25000,1052
温哥华森林,低密住宅,昌平,北七家,"北五环外紧邻立汤路，北七家建材城向北第一个路口200米路东, 枫树家园6区, 枫树家园五区",3室,464,43000,1250
丽都壹号,住宅,朝阳,酒仙桥,"将台路与驼房营路交叉口向北150米, 将府家园北里",3室,123,68000,722
北辰红橡墅,低密住宅,昌平,北七家,北京市昌平区小汤山镇立汤路7号院,5室,558,30000,1169
